"General Information", "Обща Информация"
"Contest Title", "Име на състезание"
"Description", "Описание"
"Status", "Статус"
"Start Date", "Начална дата"
"End Date", "Крайна Дата"
"New Contest", "Ново Състезание"
"Delete", "Изтрий"
"Activate", "Активирай"
"Deactivate", "Деактивирай"
"Last Name", "Фамилия"
"Message", "Съобщение"
"Birth Date", "Дата на раждане"
"Add New", "Добави нов"
"R U Sure", "Сигурни ли сте?"
"Contests", "Състезания"
"Add New Contest", "Добави ново състезание"
"Contestants Info", "Инфо за състезател(и)"
"Add Someone New", "Добави нов"
"The contest was successfully saved!", "Състезанието бе записано!"
"%d contestant(s) deleted!", "%d състезател(и) бяха изтрити"
"Please select some contestant(s).", "Избери състезател(и)."
"The contestant was successfully saved!", "Успешен запис!"
"The contest was deleted!", "Състезанието бе изтрито!"
"Please select some contests.", "Избери запис"
"%d contest(s) status changed!", "%d състезания(и) бяха изтрити"
"Contestant Application Form", "Форма за участие"
"All Active Contests", "Активни сустезатели"


